"nodo1","nodo2","peso_arista","peso_nodo1","peso_nodo2","nodo1_nombre","nodo2_nombre","nodo1_region","nodo2_region"
1,6,"0.37",1432.5,2227,"Acatlán","Alfajayucan","Región Tulancingo","Región Ixmiquilpan"
2,14,"0.450980392156863",4813.5,2788.5,"Acaxochitlán","Calnali","Región Tulancingo","Región Huejutla"
3,30,"0.51528384279476",21001,24999,"Actopan","Ixmiquilpan","Región Actopan","Región Ixmiquilpan"
3,67,"0.479381443298969",21001,10985.5,"Actopan","Tezontepec de Aldama","Región Actopan","Región Tula"
4,55,"0.456521739130435",1686.5,2075.5,"Agua Blanca de Iturbide","Santiago de Anaya","Región Tulancingo","Región Actopan"
5,54,"0.453781512605042",3718.5,3206,"Ajacuba","San Salvador","Región Tula","Región Actopan"
6,14,"0.441176470588235",2227,2788.5,"Alfajayucan","Calnali","Región Ixmiquilpan","Región Huejutla"
6,21,"0.455357142857143",2227,2903.5,"Alfajayucan","Emiliano Zapata","Región Ixmiquilpan","Región Apan"
7,55,"0.463157894736842",2184.5,2075.5,"Almoloya","Santiago de Anaya","Región Apan","Región Actopan"
7,65,"0.494736842105263",2184.5,2016,"Almoloya","Tetepango","Región Apan","Región Tula"
8,12,"0.469135802469136",11451,4928.5,"Apan","Atotonilco el Grande","Región Apan","Región Zacualtipán"
8,23,"0.469135802469136",11451,7264.5,"Apan","Francisco I. Madero","Región Apan","Región Actopan"
8,41,"0.451977401129944",11451,11655.5,"Apan","Mixquiahuala de Juárez","Región Apan","Región Actopan"
8,61,"0.3",11451,19256.5,"Apan","Tepeapulco","Región Apan","Región Apan"
8,67,"0.537037037037037",11451,10985.5,"Apan","Tezontepec de Aldama","Región Apan","Región Tula"
9,65,"0.446808510638298",1937.5,2016,"El Arenal","Tetepango","Región Actopan","Región Tula"
10,13,"0.267857142857143",11023.5,12425.5,"Atitalaquia","Atotonilco de Tula","Región Tula","Región Tula"
11,25,"0.481818181818182",1914,1895.5,"Atlapexco","Huautla","Región Huejutla","Región Huejutla"
12,16,"0.4625",4928.5,9536,"Atotonilco el Grande","Cuautepec de Hinojosa","Región Zacualtipán","Región Tulancingo"
12,23,"0.592105263157895",4928.5,7264.5,"Atotonilco el Grande","Francisco I. Madero","Región Zacualtipán","Región Actopan"
