"nodo1","nodo2","nodo1_nombre","nodo2_nombre","peso_arista","peso_nodo1","peso_nodo2","nodo1_afinidad","nodo2_afinidad","nodo1_dos_digitos","nodo2_dos_digitos","nodo1_dos_digitos_nombre","nodo2_dos_digitos_nombre"
112514,336310,"Camaronicultura y acuicultura de otros crustáceos en agua dulce","Fabricación de motores y sus partes para vehículos automotrices","0.5",2.5,101,0.301408917255585,0.300690585089834,11,33,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Industrias manufactureras"
112515,321910,"Piscicultura en agua dulce","Fabricación de productos de madera para la construcción","0.48780487804878",604,2120.5,0.501285869461191,0.451841352445723,11,32,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Industrias manufactureras"
112516,611411,"Piscicultura en agua salada","Escuelas comerciales y secretariales del sector privado","0.5",2.5,13,0.315082100052328,0.447547985579345,11,61,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Servicios educativos"
112519,115111,"Otra acuicultura","Servicios de fumigación agrícola","0.5",10.5,2.5,0.296780283782388,0.32185348138175,11,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza"
112519,621212,"Otra acuicultura","Consultorios dentales del sector público","0.666666666666667",10.5,7.5,0.296780283782388,0.314992896426291,11,62,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Servicios de salud y de asistencia social"
114119,611631,"Pesca y captura de otros peces, crustáceos, moluscos y otras especies","Escuelas de idiomas del sector privado","0.384615384615385",482.5,505,0.367901108307076,0.361340634428299,11,61,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Servicios educativos"
115113,931510,"Beneficio de productos agrícolas","Regulación y fomento de actividades para mejorar y preservar el medio ambiente","0.428571428571429",22.5,2007,0.325299873229911,0.405514701281498,11,93,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales"
115119,431194,"Otros servicios relacionados con la agricultura","Comercio al por mayor de miel","0.666666666666667",25.5,17.5,0.275900101685162,0.377811846462057,11,43,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Comercio al por mayor"
115210,237131,"Servicios relacionados con la cría y explotación de animales","Construcción de obras de generación y conducción de energía eléctrica","0.5",33,182,0.373955012591154,0.325572699588284,11,23,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Construcción"
115210,339994,"Servicios relacionados con la cría y explotación de animales","Fabricación de velas y veladoras","0.5",33,138.5,0.373955012591154,0.408255295302912,11,33,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Industrias manufactureras"
212222,238350,"Minería de plata","Realización de trabajos de carpintería en el lugar de la construcción","0.5",256,5,0.435222791407579,0.312186895884058,21,23,"Minería","Construcción"
212222,311511,"Minería de plata","Elaboración de leche líquida","0.5",256,294,0.435222791407579,0.360102832123705,21,31,"Minería","Industrias manufactureras"
212231,212232,"Minería de cobre","Minería de plomo y zinc","1",702,440,0.374952144960153,0.389026705979846,21,21,"Minería","Minería"
212231,212399,"Minería de cobre","Minería de otros minerales no metálicos","0.5",702,10.5,0.374952144960153,0.347394173155159,21,21,"Minería","Minería"
212231,213119,"Minería de cobre","Otros servicios relacionados con la minería","1",702,2.5,0.374952144960153,0.314021478791346,21,21,"Minería","Minería"
212232,213119,"Minería de plomo y zinc","Otros servicios relacionados con la minería","1",440,2.5,0.389026705979846,0.314021478791346,21,21,"Minería","Minería"
212291,624222,"Minería de manganeso","Refugios temporales comunitarios del sector público","0.25",380,68.5,1,0.371257733335458,21,62,"Minería","Servicios de salud y de asistencia social"
212311,524110,"Minería de piedra caliza","Compañías de seguros","0.4",627.5,153.5,0.375453848040133,0.237545148813799,21,52,"Minería","Servicios financieros y de seguros"
212312,335311,"Minería de mármol","Fabricación de motores y generadores eléctricos","0.333333333333333",61.5,329,0.494065225323285,0.341820583289238,21,33,"Minería","Industrias manufactureras"
212319,713942,"Minería de otras piedras dimensionadas","Clubes deportivos del sector público","0.4",49,33,0.332494063889215,0.402277497710119,21,71,"Minería","Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos"
212321,611142,"Minería de arena y grava para la construcción","Escuelas de educación secundaria técnica del sector público","0.44",295.5,2674.5,0.384265075376885,0.368705124221063,21,61,"Minería","Servicios educativos"
